"date","banksy.tot","banksy.pos","banksy.neg","banksy.neu","banksy.imp","burmavj.tot","burmavj.pos","burmavj.neg","burmavj.neu","burmavj.imp","dangerousman.tot","dangerousman.pos","dangerousman.neg","dangerousman.neu","dangerousman.imp","foodinc.tot","foodinc.pos","foodinc.neg","foodinc.neu","foodinc.imp","gasland.tot","gasland.pos","gasland.neg","gasland.neu","gasland.imp","hellandbackagain.tot","hellandbackagain.pos","hellandbackagain.neg","hellandbackagain.neu","hellandbackagain.imp","ifatreefalls.tot","ifatreefalls.pos","ifatreefalls.neg","ifatreefalls.neu","ifatreefalls.imp","insidejob.tot","insidejob.pos","insidejob.neg","insidejob.neu","insidejob.imp","paradiselost3.tot","paradiselost3.pos","paradiselost3.neg","paradiselost3.neu","paradiselost3.imp","pina.tot","pina.pos","pina.neg","pina.neu","pina.imp","restrepo.tot","restrepo.pos","restrepo.neg","restrepo.neu","restrepo.imp","thecove.tot","thecove.pos","thecove.neg","thecove.neu","thecove.imp","wasteland.tot","wasteland.pos","wasteland.neg","wasteland.neu","wasteland.imp","whichwayhome.tot","whichwayhome.pos","whichwayhome.neg","whichwayhome.neu","whichwayhome.imp","burmavj.goog","thecove.goog","dangerousman.goog","wasteland.goog","whichwayhome.goog","banksy.goog","foodinc.goog","gasland.goog","hellandbackagain.goog","ifatreefalls.goog","insidejob.goog","paradiselost3.goog","restrepo.goog","banksy.tv.cts","banksy.show.cts","banksy.pap.cts","banksy.article.cts","dangerousman.tv.cts","dangerousman.show.cts","dangerousman.pap.cts","dangerousman.article.cts","foodinc.tv.cts","foodinc.show.cts","foodinc.pap.cts","foodinc.article.cts","gasland.tv.cts","gasland.show.cts","gasland.pap.cts","gasland.article.cts","hellandbackagain.tv.cts","hellandbackagain.show.cts","hellandbackagain.pap.cts","hellandbackagain.article.cts","ifatreefalls.tv.cts","ifatreefalls.show.cts","ifatreefalls.pap.cts","ifatreefalls.article.cts","insidejob.tv.cts","insidejob.show.cts","insidejob.pap.cts","insidejob.article.cts","paradiselost3.tv.cts","paradiselost3.show.cts","paradiselost3.pap.cts","paradiselost3.article.cts","pina.tv.cts","pina.show.cts","pina.pap.cts","pina.article.cts","restrepo.tv.cts","restrepo.show.cts","restrepo.pap.cts","restrepo.article.cts","thecove.tv.cts","thecove.show.cts","thecove.pap.cts","thecove.article.cts","wasteland.tv.cts","wasteland.show.cts","wasteland.pap.cts","wasteland.article.cts","burmavj.tv.cts","burmavj.show.cts","burmavj.pap.cts","burmavj.article.cts","whichwayhome.tv.cts","whichwayhome.show.cts","whichwayhome.pap.cts","whichwayhome.article.cts","pina.goog"
"2009-09-10",0,0,0,0,0,1,0,0,1,516,0,0,0,0,0,15,6,0,9,16415,0,0,0,0,0,0,0,0,0,0,2,1,0,1,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,12,0,22,75501,2,1,0,1,112,1,0,1,0,0,10,25,11,0,13,0,33,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"2009-09-11",0,0,0,0,0,3,0,0,3,483,3,1,0,2,12088,29,5,3,21,31422,0,0,0,0,0,0,0,0,0,0,1,1,0,0,251,5,0,0,5,1087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,15,1,24,310467,1,1,0,0,251,1,0,0,1,349,10,25,11,0,13,0,33,0,0,0,0,5,0,0,0,0,0,0,0,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,4
"2009-09-12",0,0,0,0,0,0,0,0,0,0,10,1,2,7,4498,8,5,0,3,3635,0,0,0,0,0,0,0,0,0,0,1,0,0,1,836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,4,2,9,14129,1,0,0,1,836,2,1,0,1,472,10,25,11,0,13,0,33,0,0,0,0,5,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,4
"2009-09-13",0,0,0,0,0,2,0,0,2,2887,0,0,0,0,0,28,13,2,13,839860,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,3,0,1,2,9218,0,0,0,0,0,24,2,3,19,77624,1,1,0,0,0,0,0,0,0,0,10,25,11,0,13,0,33,0,0,0,0,5,0,0,0,0,0,0,0,2,1,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"2009-09-14",0,0,0,0,0,2,0,0,2,4163,6,1,0,5,0,10,5,0,5,17669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,30,12,2,16,90267,0,0,0,0,0,0,0,0,0,0,9,23,10,0,13,0,21,0,0,0,0,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,4
"2009-09-15",0,0,0,0,0,0,0,0,0,0,5,1,0,4,10627,17,9,1,7,14419,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,11,6378,1,1,0,0,0,0,0,0,0,0,9,23,10,0,13,0,21,0,0,0,0,2,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,4
"2009-09-16",1,0,0,1,110,5,1,0,4,55290,35,4,0,31,25814,14,8,1,5,6971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,15,3,101,260959,0,0,0,0,0,1,1,0,0,0,9,23,10,0,13,0,21,0,0,0,0,2,0,0,0,0,0,0,0,9,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,4
"2009-09-17",0,0,0,0,0,3,0,0,3,1423,5,1,0,4,130740,26,15,1,10,19635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,4,1,52,486087,0,0,0,0,0,0,0,0,0,0,9,23,10,0,13,0,21,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,55,1,0,0,0,0,4
"2009-09-18",0,0,0,0,0,0,0,0,0,0,4,0,0,4,3591,24,7,2,15,60035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,54,0,0,0,0,0,43,6,1,36,47809,0,0,0,0,0,0,0,0,0,0,9,23,10,0,13,0,21,0,0,0,0,2,0,0,0,0,0,0,0,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,4
"2009-09-19",0,0,0,0,0,0,0,0,0,0,6,2,0,4,15809,14,9,0,5,9644,0,0,0,0,0,0,0,0,0,0,1,1,0,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3,2,9,46996,1,1,0,0,118,0,0,0,0,0,9,23,10,0,13,0,21,0,0,0,0,2,0,0,0,0,0,0,0,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"2009-09-20",1,0,0,1,0,1,1,0,0,1070,0,0,0,0,0,20,4,4,12,6909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,8097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,0,8,22808,0,0,0,0,0,0,0,0,0,0,9,23,10,0,13,0,21,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4
"2009-09-21",0,0,0,0,0,2,0,0,2,860,0,0,0,0,0,28,10,2,16,15953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,5,1,17,29292,0,0,0,0,0,0,0,0,0,0,12,22,6,0,0,0,21,0,0,0,0,3,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"2009-09-22",0,0,0,0,0,2,0,0,2,1330,7,0,2,5,1303388,24,10,2,12,46033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,0,12,7743,0,0,0,0,0,1,0,0,1,367,12,22,6,0,0,0,21,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"2009-09-23",0,0,0,0,0,1,1,0,0,180,1,0,0,1,0,19,5,0,14,36042,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,7,2362,1,1,0,0,0,1,0,0,1,540,12,22,6,0,0,0,21,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"2009-09-24",1,1,0,0,468,3,2,0,1,874,2,1,0,1,4538,11,3,0,8,18971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,43,0,0,0,0,0,16,6,0,10,9370,0,0,0,0,0,0,0,0,0,0,12,22,6,0,0,0,21,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
